id,ma_quan_he,ten,chi_1,chi_2,ngu_hanh_hoa,mo_ta
LH001,TY_SUU,Lục Hợp Tý Sửu,Tý,Sửu,Thổ,"Tý và Sửu tạo thành Lục Hợp, có khả năng hóa Thổ khi đủ điều kiện."
LH002,DAN_HOI,Lục Hợp Dần Hợi,Dần,Hợi,Mộc,"Dần và Hợi tạo thành Lục Hợp, có khả năng hóa Mộc khi đủ điều kiện."
LH003,MAO_TUAT,Lục Hợp Mão Tuất,Mão,Tuất,Hỏa,"Mão và Tuất tạo thành Lục Hợp, có khả năng hóa Hỏa khi đủ điều kiện."
LH004,THIN_DAU,Lục Hợp Thìn Dậu,Thìn,Dậu,Kim,"Thìn và Dậu tạo thành Lục Hợp, có khả năng hóa Kim khi đủ điều kiện."
LH005,TY_THAN,Tỵ Thân,Tỵ,Thân,Thủy,"Tỵ và Thân tạo thành Lục Hợp, có khả năng hóa Thủy khi đủ điều kiện."
LH006,NGO_MUI,Lục Hợp Ngọ Mùi,Ngọ,Mùi,Thổ,"Ngọ và Mùi tạo thành Lục Hợp, có khả năng hóa Thổ khi đủ điều kiện."
