id,ma_quan_he,ten,chi_1,chi_2,ngu_hanh,mo_ta
BH001,THAN_TY,Bán Hợp Thủy,Thân,Tý,Thủy,"Nửa Tam Hợp Thủy."
BH002,TY_THIN,Bán Hợp Thủy,Tý,Thìn,Thủy,"Nửa Tam Hợp Thủy."
BH003,DAN_NGO,Bán Hợp Hỏa,Dần,Ngọ,Hỏa,"Nửa Tam Hợp Hỏa."
BH004,NGO_TUAT,Bán Hợp Hỏa,Ngọ,Tuất,Hỏa,"Nửa Tam Hợp Hỏa."
BH005,HOI_MAO,Bán Hợp Mộc,Hợi,Mão,Mộc,"Nửa Tam Hợp Mộc."
BH006,MAO_MUI,Bán Hợp Mộc,Mão,Mùi,Mộc,"Nửa Tam Hợp Mộc."
BH007,TY_DAU,Bán Hợp Kim,Tỵ,Dậu,Kim,"Nửa Tam Hợp Kim."
BH008,DAU_SUU,Bán Hợp Kim,Dậu,Sửu,Kim,"Nửa Tam Hợp Kim."
