id,combination_type,condition,score,priority,max_apply,school,version,status,description
CB001,TIAN_GAN_HE,Hợp Thiên Can thành công,10,90,3,TRADITIONAL,1.0,active,Hợp Can
CB002,DI_ZHI_LIUHE,Lục Hợp,10,90,2,TRADITIONAL,1.0,active,Lục Hợp
CB003,TAM_HOP,Tam Hợp thành cục,20,100,1,TRADITIONAL,1.0,active,Tam Hợp
CB004,TAM_HOI,Tam Hội thành cục,18,100,1,TRADITIONAL,1.0,active,Tam Hội
CB005,BAN_HOP,Bán Hợp,8,80,2,TRADITIONAL,1.0,active,Bán Hợp
CB006,HUA_SUCCESS,Hợp hóa thành công,25,100,1,TRADITIONAL,1.0,active,Hợp hóa
CB007,HUA_FAIL,Hợp mà không hóa,-5,70,3,TRADITIONAL,1.0,active,Hợp không hóa
