id,special_case,condition,score,priority,max_apply,school,version,status,description
SP001,CONG_THANH,Củng cục thành công,15,100,1,TRADITIONAL,1.0,active,Củng cục
SP002,HUA_QI,Hóa khí thành cách,25,100,1,TRADITIONAL,1.0,active,Hóa khí
SP003,ONE_ELEMENT,Cách nhất khí,30,100,1,TRADITIONAL,1.0,active,Nhất khí
SP004,FOLLOW_PATTERN,Tòng cách thành công,35,100,1,TRADITIONAL,1.0,active,Tòng cách
SP005,FALSE_FOLLOW,Tòng giả,-20,100,1,TRADITIONAL,1.0,active,Tòng không thành
SP006,EXTREME_STRONG,Thân cực vượng,15,90,1,TRADITIONAL,1.0,active,Thân cực mạnh
SP007,EXTREME_WEAK,Thân cực nhược,-15,90,1,TRADITIONAL,1.0,active,Thân cực yếu
SP008,PURE_PATTERN,Cách thuần,20,95,1,TRADITIONAL,1.0,active,Cách cục thuần khiết
