id,clash_type,condition,score,priority,max_apply,school,version,status,description
CL001,TIAN_GAN_CHONG,Xung Thiên Can,-8,80,4,TRADITIONAL,1.0,active,Xung Can
CL002,LIU_CHONG,Lục Xung,-15,100,3,TRADITIONAL,1.0,active,Lục Xung
CL003,LIU_HAI,Lục Hại,-10,90,3,TRADITIONAL,1.0,active,Lục Hại
CL004,LIU_PO,Lục Phá,-10,90,3,TRADITIONAL,1.0,active,Lục Phá
CL005,XING,Tương Hình,-12,95,3,TRADITIONAL,1.0,active,Tương Hình
CL006,ZI_XING,Tự Hình,-8,90,2,TRADITIONAL,1.0,active,Tự Hình
CL007,CHONG_HUA,Xung phá hợp hóa,-15,100,2,TRADITIONAL,1.0,active,Phá hợp hóa
