tam_nguyen,thu_tu,thien_can,dia_chi,hoa_giap,nap_am,nam_mau
Trung Nguyên,1,Ất,Sửu,Ất Sửu,Hải Trung Kim,1925
Trung Nguyên,2,Bính,Dần,Bính Dần,Lư Trung Hỏa,1926
Trung Nguyên,3,Đinh,Mão,Đinh Mão,Lư Trung Hỏa,1927
Trung Nguyên,4,Mậu,Thìn,Mậu Thìn,Đại Lâm Mộc,1928
Trung Nguyên,5,Kỷ,Tỵ,Kỷ Tỵ,Đại Lâm Mộc,1929
Trung Nguyên,6,Canh,Ngọ,Canh Ngọ,Lộ Bàng Thổ,1930
Trung Nguyên,7,Tân,Mùi,Tân Mùi,Lộ Bàng Thổ,1931
Trung Nguyên,8,Nhâm,Thân,Nhâm Thân,Kiếm Phong Kim,1932
Trung Nguyên,9,Quý,Dậu,Quý Dậu,Kiếm Phong Kim,1933
Trung Nguyên,10,Giáp,Tuất,Giáp Tuất,Sơn Đầu Hỏa,1934
Trung Nguyên,11,Ất,Hợi,Ất Hợi,Sơn Đầu Hỏa,1935
Trung Nguyên,12,Bính,Tý,Bính Tý,Giản Hạ Thủy,1936
Trung Nguyên,13,Đinh,Sửu,Đinh Sửu,Giản Hạ Thủy,1937
Trung Nguyên,14,Mậu,Dần,Mậu Dần,Thành Đầu Thổ,1938
Trung Nguyên,15,Kỷ,Mão,Kỷ Mão,Thành Đầu Thổ,1939
Trung Nguyên,16,Canh,Thìn,Canh Thìn,Bạch Lạp Kim,1940
Trung Nguyên,17,Tân,Tỵ,Tân Tỵ,Bạch Lạp Kim,1941
Trung Nguyên,18,Nhâm,Ngọ,Nhâm Ngọ,Dương Liễu Mộc,1942
Trung Nguyên,19,Quý,Mùi,Quý Mùi,Dương Liễu Mộc,1943
Trung Nguyên,20,Giáp,Thân,Giáp Thân,Tuyền Trung Thủy,1944
Trung Nguyên,21,Ất,Dậu,Ất Dậu,Tuyền Trung Thủy,1945
Trung Nguyên,22,Bính,Tuất,Bính Tuất,Ốc Thượng Thổ,1946
Trung Nguyên,23,Đinh,Hợi,Đinh Hợi,Ốc Thượng Thổ,1947
Trung Nguyên,24,Mậu,Tý,Mậu Tý,Tích Lịch Hỏa,1948
Trung Nguyên,25,Kỷ,Sửu,Kỷ Sửu,Tích Lịch Hỏa,1949
Trung Nguyên,26,Canh,Dần,Canh Dần,Tùng Bách Mộc,1950
Trung Nguyên,27,Tân,Mão,Tân Mão,Tùng Bách Mộc,1951
Trung Nguyên,28,Nhâm,Thìn,Nhâm Thìn,Trường Lưu Thủy,1952
Trung Nguyên,29,Quý,Tỵ,Quý Tỵ,Trường Lưu Thủy,1953
Trung Nguyên,30,Giáp,Ngọ,Giáp Ngọ,Sa Trung Kim,1954
Trung Nguyên,31,Ất,Mùi,Ất Mùi,S a Trung Kim,1955
Trung Nguyên,32,Bính,Thân,Bính Thân,Sơn Hạ Hỏa,1956
Trung Nguyên,33,Đinh,Dậu,Đinh Dậu,Sơn Hạ Hỏa,1957
Trung Nguyên,34,Mậu,Tuất,Mậu Tuất,Bình Địa Mộc,1958
Trung Nguyên,35,Kỷ,Hợi,Kỷ Hợi,Bình Địa Mộc,1959
Trung Nguyên,36,Canh,Tý,Canh Tý,Bích Thượng Thổ,1960
Trung Nguyên,37,Tân,Sửu,Tân Sửu,Bích Thượng Thổ,1961
Trung Nguyên,38,Nhâm,Dần,Nhâm Dần,Kim Bạch Kim,1962
Trung Nguyên,39,Quý,Mão,Quý Mão,Kim Bạch Kim,1963
Trung Nguyên,40,Giáp,Thìn,Giáp Thìn,Phú Đăng Hỏa,1964
Trung Nguyên,41,Ất,Tỵ,Ất Tỵ,Phú Đăng Hỏa,1965
Trung Nguyên,42,Bính,Ngọ,Bính Ngọ,Thiên Hà Thủy,1966
Trung Nguyên,43,Đinh,Mùi,Đinh Mùi,Thiên Hà Thủy,1967
Trung Nguyên,44,Mậu,Thân,Mậu Thân,Đại Dịch Thổ,1968
Trung Nguyên,45,Kỷ,Dậu,Kỷ Dậu,Đại Dịch Thổ,1969
Trung Nguyên,46,Canh,Tuất,Canh Tuất,Thoa Xuyến Kim,1970
Trung Nguyên,47,Tân,Hợi,Tân Hợi,Thoa Xuyến Kim,1971
Trung Nguyên,48,Nhâm,Tý,Nhâm Tý,Tang Đố Mộc,1972
Trung Nguyên,49,Quý,Sửu,Quý Sửu,Tang Đố Mộc,1973
Trung Nguyên,50,Giáp,Dần,Giáp Dần,Đại Khê Thủy,1974
Trung Nguyên,51,Ất,Mão,Ất Mão,Đại Khê Thủy,1975
Trung Nguyên,52,Bính,Thìn,Bính Thìn,Sa Trung Thổ,1976
Trung Nguyên,53,Đinh,Tỵ,Đinh Tỵ,Sa Trung Thổ,1977
Trung Nguyên,54,Mậu,Ngọ,Mậu Ngọ,Thiên Thượng Hỏa,1978
Trung Nguyên,55,Kỷ,Mùi,Kỷ Mùi,Thiên Thượng Hỏa,1979
Trung Nguyên,56,Canh,Thân,Canh Thân,Thạch Lựu Mộc,1980
Trung Nguyên,57,Tân,Dậu,Tân Dậu,Thạch Lựu Mộc,1981
Trung Nguyên,58,Nhâm,Tuất,Nhâm Tuất,Đại Hải Thủy,1982
Trung Nguyên,59,Quý,Hợi,Quý Hợi,Đại Hải Thủy,1983
Hạ Nguyên,0,Giáp,Tý,Giáp Tý,Hải Trung Kim,1984
Hạ Nguyên,1,Ất,Sửu,Ất Sửu,Hải Trung Kim,1985
Hạ Nguyên,2,Bính,Dần,Bính Dần,Lư Trung Hỏa,1986
Hạ Nguyên,3,Đinh,Mão,Đinh Mão,Lư Trung Hỏa,1987
Hạ Nguyên,4,Mậu,Thìn,Mậu Thìn,Đại Lâm Mộc,1988
Hạ Nguyên,5,Kỷ,Tỵ,Kỷ Tỵ,Đại Lâm Mộc,1989
Hạ Nguyên,6,Canh,Ngọ,Canh Ngọ,Lộ Bàng Thổ,1990
Hạ Nguyên,7,Tân,Mùi,Tân Mùi,Lộ Bàng Thổ,1991
Hạ Nguyên,8,Nhâm,Thân,Nhâm Thân,Kiếm Phong Kim,1992
Hạ Nguyên,9,Quý,Dậu,Quý Dậu,Kiếm Phong Kim,1993
Hạ Nguyên,10,Giáp,Tuất,Giáp Tuất,Sơn Đầu Hỏa,1994
Hạ Nguyên,11,Ất,Hợi,Ất Hợi,Sơn Đầu Hỏa,1995
Hạ Nguyên,12,Bính,Tý,Bính Tý,Giản Hạ Thủy,1996
Hạ Nguyên,13,Đinh,Sửu,Đinh Sửu,Giản Hạ Thủy,1997
Hạ Nguyên,14,Mậu,Dần,Mậu Dần,Thành Đầu Thổ,1998
Hạ Nguyên,15,Kỷ,Mão,Kỷ Mão,Thành Đầu Thổ,1999
Hạ Nguyên,16,Canh,Thìn,Canh Thìn,Bạch Lạp Kim,2000
Hạ Nguyên,17,Tân,Tỵ,Tân Tỵ,Bạch Lạp Kim,2001
Hạ Nguyên,18,Nhâm,Ngọ,Nhâm Ngọ,Dương Liễu Mộc,2002
Hạ Nguyên,19,Quý,Mùi,Quý Mùi,Dương Liễu Mộc,2003
Hạ Nguyên,20,Giáp,Thân,Giáp Thân,Tuyền Trung Thủy,2004
Hạ Nguyên,21,Ất,Dậu,Ất Dậu,Tuyền Trung Thủy,2005
Hạ Nguyên,22,Bính,Tuất,Bính Tuất,Ốc Thượng Thổ,2006
Hạ Nguyên,23,Đinh,Hợi,Đinh Hợi,Ốc Thượng Thổ,2007
Hạ Nguyên,24,Mậu,Tý,Mậu Tý,Tích Lịch Hỏa,2008
Hạ Nguyên,25,Kỷ,Sửu,Kỷ Sửu,Tích Lịch Hỏa,2009
Hạ Nguyên,26,Canh,Dần,Canh Dần,Tùng Bách Mộc,2010
Hạ Nguyên,27,Tân,Mão,Tân Mão,Tùng Bách Mộc,2011
Hạ Nguyên,28,Nhâm,Thìn,Nhâm Thìn,Trường Lưu Thủy,2012
Hạ Nguyên,29,Quý,Tỵ,Quý Tỵ,Trường Lưu Thủy,2013
Hạ Nguyên,30,Giáp,Ngọ,Giáp Ngọ,Sa Trung Kim,2014
Hạ Nguyên,31,Ất,Mùi,Ất Mùi,S a Trung Kim,2015
Hạ Nguyên,32,Bính,Thân,Bính Thân,Sơn Hạ Hỏa,2016
Hạ Nguyên,33,Đinh,Dậu,Đinh Dậu,Sơn Hạ Hỏa,2017
Hạ Nguyên,34,Mậu,Tuất,Mậu Tuất,Bình Địa Mộc,2018
Hạ Nguyên,35,Kỷ,Hợi,Kỷ Hợi,Bình Địa Mộc,2019
Hạ Nguyên,36,Canh,Tý,Canh Tý,Bích Thượng Thổ,2020
Hạ Nguyên,37,Tân,Sửu,Tân Sửu,Bích Thượng Thổ,2021
Hạ Nguyên,38,Nhâm,Dần,Nhâm Dần,Kim Bạch Kim,2022
Hạ Nguyên,39,Quý,Mão,Quý Mão,Kim Bạch Kim,2023
Hạ Nguyên,40,Giáp,Thìn,Giáp Thìn,Phú Đăng Hỏa,2024
Hạ Nguyên,41,Ất,Tỵ,Ất Tỵ,Phú Đăng Hỏa,2025
Hạ Nguyên,42,Bính,Ngọ,Bính Ngọ,Thiên Hà Thủy,2026
Hạ Nguyên,43,Đinh,Mùi,Đinh Mùi,Thiên Hà Thủy,2027
Hạ Nguyên,44,Mậu,Thân,Mậu Thân,Đại Dịch Thổ,2028
Hạ Nguyên,45,Kỷ,Dậu,Kỷ Dậu,Đại Dịch Thổ,2029
Hạ Nguyên,46,Canh,Tuất,Canh Tuất,Thoa Xuyến Kim,2030
Hạ Nguyên,47,Tân,Hợi,Tân Hợi,Thoa Xuyến Kim,2031
