rule_id,priority,score,conditions,useful_god,favorable_gods,unfavorable_gods,reason,description,reference,status,enabled
spc_001,95,0.94,"[{""field"": ""follow_pattern"", ""operator"": ""=="", ""value"": ""tong_tai""}]",Chính Tài,"[""Chính Tài"", ""Thiên Tài""]","[""Chính Ấn"", ""Thiên Ấn""]",Tòng Tài theo Tài,Tòng cách override,BTE-UG-V2,active,true
spc_002,95,0.94,"[{""field"": ""follow_pattern"", ""operator"": ""=="", ""value"": ""tong_quan""}]",Chính Quan,"[""Chính Quan"", ""Thất Sát""]","[""Tỷ Kiên"", ""Kiếp Tài""]",Tòng Quan theo Quan,Tòng cách override,BTE-UG-V2,active,true
spc_003,95,0.94,"[{""field"": ""follow_pattern"", ""operator"": ""=="", ""value"": ""tong_sat""}]",Thất Sát,"[""Thất Sát"", ""Chính Quan""]","[""Tỷ Kiên"", ""Kiếp Tài""]",Tòng Sát theo Sát,Tòng cách override,BTE-UG-V2,active,true
spc_004,92,0.90,"[{""field"": ""special_pattern"", ""operator"": ""in"", ""value"": [""khuc_truc"", ""viem_thuong"", ""nhuan_ha"", ""gia_sac""]}]",Thiên Ấn,"[""Thiên Ấn"", ""Chính Ấn""]","[""Chính Tài"", ""Thiên Tài""]",Chuyên cách ưu tiên Ấn,Dùng Ấn để định khí chuyên cách,BTE-UG-V2,active,true
