id,rule_code,rule_name,score,group,max_apply,description
LK001,USEFUL_SUPPORT,Đại vận sinh Dụng thần,20,POSITIVE,1,Đại vận hỗ trợ
LK002,JOY_SUPPORT,Đại vận sinh Hỷ thần,15,POSITIVE,1,Thuận lợi
LK003,DAYMASTER_SUPPORT,Đại vận trợ thân,12,POSITIVE,1,Tăng sức mạnh
LK004,PATTERN_SUPPORT,Đại vận trợ cách cục,15,POSITIVE,1,Củng cố cách
LK005,USEFUL_ATTACK,Đại vận khắc Dụng thần,-20,NEGATIVE,1,Bất lợi
LK006,PATTERN_BREAK,Đại vận phá cách,-25,NEGATIVE,1,Phá cấu trúc
LK007,CLASH_MAJOR,Đại vận xung mạnh,-15,NEGATIVE,2,Xung trụ quan trọng
LK008,COMBINATION_GOOD,Đại vận hợp cát,10,POSITIVE,2,Hợp có lợi
