rule_id,priority,score,score_target,conditions,strength_level,reason,description,reference,status,enabled
flw_001,90,-8,drain,"[{""field"": ""drain_type"", ""operator"": ""=="", ""value"": ""Thực Thương tiết khí""}]",,Thực Thương tiết khí,Bị Thực Thần/Thương Quan tiết,BTE-STR-V2,active,true
flw_002,85,-6,drain,"[{""field"": ""drain_type"", ""operator"": ""=="", ""value"": ""Tài tinh hao thân""}]",,Tài tinh hao thân,Thân sinh Tài,BTE-STR-V2,active,true
flw_003,88,-5,drain,"[{""field"": ""output_elements"", ""operator"": ""contains"", ""value"": ""Thương Quan""}]",,Có Thương Quan,Thương Quan tiết khí,BTE-STR-V2,active,true
flw_004,86,-5,drain,"[{""field"": ""wealth_elements"", ""operator"": ""contains"", ""value"": ""Thiên Tài""}]",,Có Thiên Tài,Tài hao thân,BTE-STR-V2,active,true
flw_005,92,-10,drain,"[{""field"": ""drain_count"", ""operator"": "">="", ""value"": 3}]",,Tiết khí nặng,Nhiều yếu tố tiết khí,BTE-STR-V2,active,true
