id,condition,score,priority,max_apply,school,version,status,description
TS001,temperature_balanced,90,100,1,TRADITIONAL,1.0,active,Khí hậu điều hòa
TS002,chart_cold,55,90,1,TRADITIONAL,1.0,active,Lá số thiên lạnh
TS003,chart_hot,55,90,1,TRADITIONAL,1.0,active,Lá số thiên nóng
TS004,temperature_excess_cold,35,95,1,TRADITIONAL,1.0,active,Hàn khí quá thịnh
TS005,temperature_excess_hot,35,95,1,TRADITIONAL,1.0,active,Nhiệt khí quá thịnh
TS006,temperature_profile_calculated,10,50,1,TRADITIONAL,1.0,active,Đã xác định khí hậu
